Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10292604,Ixelles,APARTMENT,APARTMENT,343000.0,BUY_REGULAR,2.0,66.0,0,None,0,None,None,None,None,None,2,0,GOOD
10287071,Uccle,APARTMENT,PENTHOUSE,1490000.0,BUY_REGULAR,3.0,300.0,None,None,0,1,82,None,None,None,2,None,JUST_RENOVATED
10294885,Bruxelles,APARTMENT,APARTMENT,365000.0,BUY_REGULAR,2.0,100.0,None,None,0,1,None,None,None,None,,None,GOOD
10285045,Molenbeek-Saint-Jean,HOUSE,HOUSE,290000.0,BUY_REGULAR,4.0,150.0,0,None,0,None,None,None,None,0,3,0,TO_RENOVATE
10282880,Bruxelles,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10281089,Uccle,APARTMENT,APARTMENT,319000.0,BUY_REGULAR,1.0,68.0,0,None,0,1,25,1,35,None,3,0,TO_BE_DONE_UP
10276670,Uccle,APARTMENT,APARTMENT,675000.0,BUY_REGULAR,2.0,,0,None,0,1,37,None,None,None,,0,
10278702,Ixelles,APARTMENT,APARTMENT,325000.0,BUY_REGULAR,2.0,91.0,0,None,0,None,None,None,None,,2,None,GOOD
10299363,Ganshoren,APARTMENT,APARTMENT,234000.0,BUY_REGULAR,2.0,80.0,0,None,0,1,17,None,None,None,,None,AS_NEW
10301402,Woluwe-Saint-Lambert,APARTMENT,DUPLEX,375000.0,BUY_REGULAR,3.0,115.0,0,None,1,1,6,None,None,None,2,None,GOOD
10236933,Bruxelles  1,APARTMENT,APARTMENT,149000.0,BUY_REGULAR,0.0,37.0,0,None,0,None,None,None,None,None,2,None,
10094871,Bruxelles,HOUSE,HOUSE,330000.0,BUY_REGULAR,5.0,125.0,0,None,0,1,12,None,None,0,2,0,GOOD
10292592,Schaerbeek,APARTMENT,APARTMENT,200000.0,BUY_REGULAR,1.0,50.0,0,None,0,None,None,None,None,None,2,0,JUST_RENOVATED
10287023,Uccle,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10294863,Jette,APARTMENT,APARTMENT,299000.0,BUY_REGULAR,2.0,115.0,0,None,0,1,7,None,None,None,2,0,GOOD
10285030,Forest,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10282833,Bruxelles,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10280988,Anderlecht,HOUSE,HOUSE,339000.0,BUY_REGULAR,2.0,109.0,0,None,0,1,10,1,150,157,2,None,GOOD
10276669,Uccle,APARTMENT,PENTHOUSE,1470000.0,BUY_REGULAR,3.0,,0,None,0,1,175,None,None,None,,0,
10278700,Neder-over-Heembeek,APARTMENT,FLAT_STUDIO,159000.0,BUY_REGULAR,0.0,40.0,0,None,0,None,None,1,100,None,2,None,TO_BE_DONE_UP
10299349,Ixelles,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10299340,Ixelles,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10297119,Neder-over-Heembeek,APARTMENT,APARTMENT,239000.0,BUY_REGULAR,3.0,120.0,0,None,0,None,None,None,None,None,2,None,
10289050,Evere,HOUSE,MIXED_USE_BUILDING,650000.0,BUY_REGULAR,5.0,411.0,1,None,0,None,None,None,None,250,2,0,GOOD
10292495,Schaerbeek,HOUSE,APARTMENT_BLOCK,625000.0,BUY_REGULAR,5.0,303.0,0,None,0,1,1,1,50,160,2,0,TO_BE_DONE_UP
